gac_id,object_key,gac_id_sortable,image_large,aqua,black,fuchsia,green,maroon,navy,olive,purple,red,teal,white,yellow,title,date_range,object_name,acquisition,dimensions
10472,11635,0000010472,10472.jpg,NA,0.0671,NA,NA,0.0251,5e-4,0.2308,0.0178,NA,NA,0.6587,NA,Extensive View of Windsor from the Thames,NA,watercolour,"Purchased from Appleby Bros, April 1973","height: 37.00 cm, width: 48.00 cm"
10515,27964,0000010515,10515.jpg,NA,0.0045,NA,NA,6e-4,0.0021,0.0265,4e-4,NA,0.0069,0.7561,0.2029,The Tree of Life,1971,block print,"Purchased from Anthony Dawson, May 1973",NA
11298,29474,0000011298,11298.jpg,NA,NA,NA,NA,NA,NA,0.222,0.0916,NA,8e-4,0.6856,NA,A Prospect of the Seat of Sir William Ashhurst at Highgate in the County of Middlesex,published 1724,engraving,"Purchased from Parker Gallery, July 1974","height: 52.20 cm, width: 62.30 cm"
11298,29474,0000011298,11298.jpg,NA,NA,NA,NA,NA,NA,0.222,0.0916,NA,8e-4,0.6856,NA,Le Théâtre Nouveau de la Grande Bretagne,published 1724,engraving,"Purchased from Parker Gallery, July 1974","height: 52.20 cm, width: 62.30 cm"
11499,22377,0000011499,11499.jpg,NA,NA,7e-4,0.0734,0.0015,0.4302,0.0309,0.0228,0.1224,0.0105,0.2112,0.0964,January 1973 : 15,1973,screenprint,"Purchased from Waddington Galleries, October 1974",NA
11820,28211,0000011820,11820.jpg,NA,0.1034,NA,NA,NA,NA,0.2374,NA,NA,NA,0.6592,NA,Oracle,1971,bronze sculpture,"Purchased from Marjorie Parr Gallery, January 1975",height: 70.00 cm
11971,14565,0000011971,11971.jpg,NA,0.0214,NA,0.0019,0.008,NA,0.3453,0.127,NA,0.0116,0.4848,NA,Drawing 19 (Red & Black),1974,gouache,"Purchased from the artist, June 1975","height: 27.00 cm, width: 25.50 cm"
12090,10406,0000012090,12090.jpg,NA,0.1,NA,0.0305,NA,1e-4,0.3211,NA,NA,0.0489,0.4994,NA,"St. Augustine, Watling Street",1970,screenprint | etching,"Purchased from Editions Alecto, January 1971",NA
12090,10406,0000012090,12090.jpg,NA,0.1,NA,0.0305,NA,1e-4,0.3211,NA,NA,0.0489,0.4994,NA,Ten Wren Churches,1970,screenprint | etching,"Purchased from Editions Alecto, January 1971",NA
12092,10048,0000012092,12092.jpg,NA,0.0223,NA,5e-4,0.0022,0.0058,0.3672,0.0212,NA,0.0554,0.5254,NA,Kenilworth Castle: Ruins,30 September 1830,watercolour,Origin uncertain,"height: 32.10 cm, width: 23.10 cm"
